Version,IP, Info                           ,   0-order , 1-order   , 2-order   
0,0," ti [l:8, bb:bb0]               ",0, 4 (mc:1)  , 6 (mc:1)  
,1," ti [l:10, bb:check in compare] ",0, 4 (mc:1)  , 27 (mc:2) 
,2," ti [l:20, bb:Try counter > 0]  ",0,0,0
,3," ti [l:23, bb:precompare]       ",0, 4 (mc:1)  , 9 (mc:1)  
1,0," ti [l:8, bb:bb0]              ",0, 4 (mc:1)  , 6 (mc:1)  
,1," ti [l:9, bb:bb1]              ",0, 4 (mc:1)  , 27 (mc:2) 
,2," ti [l:20, bb:Try counter > 0] ",0,0,0
,3," ti [l:24, bb:precompare]      ",0, 4 (mc:1)  , 9 (mc:1)  
,4," ti [l:27, bb:bb7]             ",0,0,0
2,0," ti [l:10, bb:bb0]              ",0,0, 4 (mc:1)   
,1," ti [l:13, bb:check in compare] ",0, 4 (mc:1)  , 124 (mc:2) 
,2," ti [l:19, bb:i!=size]          ",0,0, 4 (mc:1)   
,3," ti [l:24, bb:diff in compare]  ",0, 15 (mc:1) , 56 (mc:1)  
,4," ti [l:37, bb:Try counter > 0]  ",0,0,0
,5," ti [l:41, bb:precompare]       ",0, 15 (mc:1) , 56 (mc:1)  
,6," ti [l:45, bb:bb8]              ",0,0,0
4,0," ti [l:12, bb:Try counter > 0] ",0,0,0
,1," ti [l:13, bb:bb0]             ",0,0,0
,10," ti [l:53, bb:bb13]            ",0,0,0
,2," ti [l:18, bb:bb1]             ",0,0,0
,3," ti [l:29, bb:bb2]             ",0,0,0
,4," ti [l:30, bb:bb3]             ",0, 4 (mc:1)  , 124 (mc:2) 
,5," ti [l:35, bb:bb6]             ",0,0,0
,6," ti [l:38, bb:bb7]             ",0,0,0
,7," ti [l:41, bb:bb8]             ",0, 15 (mc:1) , 56 (mc:1)  
,8," ti [l:47, bb:bb10]            ",0, 15 (mc:1) , 56 (mc:1)  
,9," ti [l:48, bb:bb11]            ",0,0,0
6,0," ti [l:12, bb:Try counter > 0]      ",0,0,0
,1," ti [l:19, bb:bb0]                  ",0,0, 1 (mc:1)  
,2," ti [l:22, bb:user_pin != card_pin] ",0,0,0
,3," ti [l:28, bb:i != PIN_SIZE]        ",0,0, 1 (mc:1)  
,4," ti [l:33, bb:diff 1]               ",0,0, 1 (mc:1)  
,5," ti [l:36, bb:diff 2]               ",0,0, 1 (mc:1)  
,6," ti [l:48, bb:status 1]             ",0,0, 1 (mc:1)  
,7," ti [l:51, bb:status 2]             ",0,0, 1 (mc:1)  
